"Authors","Author full names","Author(s) ID","Title","Year","Link"
"Leopoldino K.; González M.; Júnior J.","Leopoldino, Kleidson (57192005624); González, Mario (55237687400); Júnior, José (57191372919)","57192005624; 55237687400; 57191372919","Factors that contribute to collective creativity development in organizations","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995967781&partnerID=40&md5=1d8f7c6cf02c87e9c65dc072993a3204"
"Silva L.; Moura R.; Canuto A.M.P.; Santiago R.H.N.; Bedregal B.","Silva, Liliane (56405025100); Moura, Ronildo (55931995300); Canuto, Anne M.P. (15022041200); Santiago, Regivan H.N. (7006674404); Bedregal, Benjamin (15520790700)","56405025100; 55931995300; 15022041200; 7006674404; 15520790700","An Interval-Based Framework for Fuzzy Clustering Applications","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954374635&doi=10.1109%2fTFUZZ.2015.2407901&partnerID=40&md5=7253d6c45cb2034e2020b8f66bbf0f2d"
"Melo M.S.; Ho L.L.; Medeiros P.G.","Melo, M.S. (57226391568); Ho, L.L. (57217846894); Medeiros, P.G. (55338449300)","57226391568; 57217846894; 55338449300","Max D: an attribute control chart to monitor a bivariate process mean","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984873667&doi=10.1007%2fs00170-016-9368-8&partnerID=40&md5=b53b6157d812fb6585c26d2b57d8befe"
"Costa D.G.; Silva I.; Guedes L.A.; Vasques F.; Portugal P.","Costa, Daniel G. (35519411300); Silva, Ivanovitch (36537969500); Guedes, Luiz Affonso (35761038800); Vasques, Francisco (6603542902); Portugal, Paulo (8528261900)","35519411300; 36537969500; 35761038800; 6603542902; 8528261900","Optimal sensing redundancy for multiple perspectives of targets in wireless visual sensor networks","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949508978&doi=10.1109%2fINDIN.2015.7281732&partnerID=40&md5=81f5f406248abc3fa5b68b0529ee8cd3"
"Leal F.; Musicante M.A.","Leal, Fabio (57215127333); Musicante, Martin A. (8586992500)","57215127333; 8586992500","Using SLA to guide database transition to NoSQL on the cloud: A systematic mapping study","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980368666&doi=10.1109%2fAICCSA.2015.7507130&partnerID=40&md5=535cf3ff81798de01fd681fb739b617b"
"Filho A.F.B.; Ortiz A.; Dos Santos L.P.; Carvalho F.E.; Lopes J.S.B.; Da Silva W.L.A.","Filho, Adjair Ferreira Barros (57194054473); Ortiz, Andres (57194052944); Dos Santos, Luciano Pereira (57194048651); Carvalho, Francisco Elvis (56439013400); Lopes, Jose Soares Batista (55104256700); Da Silva, Werbet Luiz Almeida (57194058482)","57194054473; 57194052944; 57194048651; 56439013400; 55104256700; 57194058482","Bilinear Predictive Controllers Applied in an Induction Motor Machine","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018489442&doi=10.1109%2fTLA.2017.7896345&partnerID=40&md5=8763380304c3f755311a6c0450d70177"
"Cavalcante L.; Olmos J.J.V.; Monroy I.T.; Dinis R.; De Silveira L.G.Q., Jr.; De Silveira L.F.Q.","Cavalcante, Lucas (56428717400); Olmos, J.J. Vegas (7006049634); Monroy, Idelfonso T. (7003831693); Dinis, Rui (6701511111); De Silveira, Luiz G.Q. (57215342814); De Silveira, Luiz F.Q. (56363591700)","56428717400; 7006049634; 7003831693; 6701511111; 57215342814; 56363591700","Wavelet-Coded OFDM for next generation mobile communications","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017013017&doi=10.1109%2fVTCFall.2016.7881967&partnerID=40&md5=9f3f18b30d1131b7c61eb518edad7c2c"
"Araújo J.M.; Dórea C.E.T.","Araújo, José M. (36808912600); Dórea, Carlos E. T. (7004096252)","36808912600; 7004096252","Neural network fitting for input-output manifolds in constrained linear systems","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028950815&doi=10.1007%2f978-3-319-26230-7_6&partnerID=40&md5=0c0c89d0e0f5a489c9456750a916a155"
"Lopes A.S.B.; Kreutz M.E.; Pereira M.M.","Lopes, Alba Sandyra Bezerra (53865038500); Kreutz, Marcio Eduardo (8833771300); Pereira, Monica Magalhaes (23135826400)","53865038500; 8833771300; 23135826400","Enabling NoC performance improvement using a fault tolerance mechanism","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969533573&doi=10.1109%2fSBESC.2015.9&partnerID=40&md5=c2b7bfb40a05f9c27d68cab3ee81be53"
"Araújo J.M.; Dórea C.E.T.; Gonçalves L.M.G.; Datta B.N.","Araújo, José M. (36808912600); Dórea, Carlos E.T. (7004096252); Gonçalves, Luiz M.G. (58069927800); Datta, Biswa N. (56782204400)","36808912600; 7004096252; 58069927800; 56782204400","State derivative feedback in second-order linear systems: A comparative analysis of perturbed eigenvalues under coefficient variation","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975784176&doi=10.1016%2fj.ymssp.2016.02.014&partnerID=40&md5=20bad44907af316cb1945eb0765fc1e2"
